id;param_key;param_value
1;aussi;administration
2;affranchir hâter;de peur que lors de comme
3;clac camarade crac;après que spécialiste
4;apte;plouf
5;secours;badaboum exprès
6;tsoin-tsoin détruire;afin de pff
7;bof évacuer;grandement cuicui
8;collègue mouiller population du Québec;ha ha en dedans de signifier
9;dynamique;comme jusqu’à ce que
10;jusqu’à ce que intrépide;horrible vroum sitôt que
11;hormis cot cot commis;nourrir
12;soit guide;où membre du personnel hi
13;ouch;drôlement
14;espiègle ouah lâche;sitôt que découper sympathique
15;lors quand ?;atténuer administration fidèle
16;aimer;cocorico apte coac coac
17;spécialiste biathlète;entreprendre
18;loin de;derechef
19;encore de crainte que;dès que quelque
20;après que vlan derrière;illustrer croâ
21;malade super entre-temps;grimper personnel lorsque
22;à côté de ouf;auprès de
23;fourbe;après que camarade
24;dense qualifier délégation;sage épouser
25;charitable charitable fourbe;administration réunir
26;puisque ouch;considérable aussitôt contre
27;divinement;ouin
28;après considérable;en dépit de
29;hypocrite athlète bzzz;tuer euh alors que
30;tranquille aussitôt;délectable tranquille entre-temps
