id;product_name;product_sku;quantity;unit_price;subtotal;is_pack_item
1;patientèle;rectorat guide pointer;30355;19616.6;806.36;false
2;après que naguère;à peu près chef de cuisine juriste;10811;7935.23;28364.04;false
3;pendant que;sincère;23436;30245.07;1015.44;false
4;puis crac;bof communiquer;2488;19936.3;21140.03;false
5;attarder;préparer;8512;22937.35;22312.65;true
6;bè;malade antagoniste vraisemblablement;31311;30589.47;3466.26;true
7;deçà;tard;16363;9529.36;15180.04;true
8;au cas où rédaction;porte-parole totalement au dépens de;29676;9087.03;2481.81;false
9;efficace personnel excéder;hier en faveur de;4734;28406.64;27446.96;true
10;placide;jeune;26412;3921.78;11114.24;false
11;avant;au-dehors de façon à ce que;25683;12577.98;8634.18;true
12;plouf circulaire;vroum rédaction;17754;12778.24;10570.44;false
13;considérer fonctionnaire;sous;7889;6226.91;25700.77;false
14;après pendant que;communauté étudiante étaler;17481;13143.2;26137;false
15;sitôt que;durer de façon que de manière à;11436;24953.29;13894.4;true
16;sale;maigre bzzz;19807;17453.6;29895.01;true
17;vorace;souligner sus altruiste;24349;22412.12;20516.45;false
18;éclaircir en dedans de;loger provoquer;5493;8524.37;12680.44;false
19;dans la mesure où;coin-coin dring;10067;31223.36;10678.6;true
20;outre hors;à partir de ah;4386;25541.66;18099.36;true
21;atchoum vaste;serviable puisque devant;925;25697.31;748.46;false
22;à partir de;chauffer sans doute construire;24047;15689.66;9539.3;true
23;entrevoir meuh;aïe altruiste commis de cuisine;30652;28436.49;25176.09;true
24;si tant;avex collègue à seule fin de;19754;11859.14;15132.86;false
25;aïe solitaire;magenta magnifique;2827;28090.05;16043.26;false
26;hystérique gai;pendant que sitôt que;19637;25288.52;7297.31;true
27;afin que debout;direction atchoum pff;11632;24878.55;9340.96;true
28;au-delà toc-toc;bof à la merci avant-hier;2750;20112.21;27516.74;true
29;aussitôt que;main-d’œuvre d'avec;30173;31673.57;4322.82;true
30;blême retrouver;actionnaire dynamique de sorte que;6418;16612.29;709.98;false
