id;name;description;discount_type;discount_value;start_date;end_date;is_active;display_on_homepage
1;habile alors que;groin groin;FIXED;6613.97;2026-05-23T10:09:28;2026-05-22T22:33:34;false;true
2;de peur que;conseil d’administration de manière à;PERCENT;25598.76;2026-05-23T07:12:55;2026-05-23T09:09:52;true;false
3;soustraire en vérité;au prix de candide;FIXED;24001.81;2026-05-23T04:09:32;2026-05-23T06:42:24;false;true
4;membre titulaire;sincère minuscule;FIXED;18487.7;2026-05-22T16:56:44;2026-05-23T04:17:43;true;false
5;adversaire clientèle administration;fonctionnaire gens camarade;PERCENT;2765.65;2026-05-23T12:15:08;2026-05-22T20:33:56;false;true
6;mince;autant insuffisamment casser;PERCENT;27444.03;2026-05-23T00:57:21;2026-05-23T01:25:19;true;false
7;comme de la part de;souple avant;PERCENT;9445.9;2026-05-22T22:17:47;2026-05-22T18:22:03;false;true
8;tantôt après que;pendant que;FIXED;4208.66;2026-05-23T02:55:12;2026-05-23T11:49:05;false;false
9;coin-coin accentuer à peu près;propre;FIXED;26637.09;2026-05-23T11:10:44;2026-05-22T23:28:11;false;false
10;rire ficher membre titulaire;épuiser tout;PERCENT;3808.46;2026-05-23T03:51:30;2026-05-22T22:00:24;false;false
11;mairie;aux environs de insolite à travers;FIXED;31638;2026-05-22T17:38:57;2026-05-23T10:39:39;false;true
12;comment lorsque;entièrement snob oh;PERCENT;30953.37;2026-05-22T20:13:48;2026-05-22T16:45:17;false;false
13;vouh toujours prestataire de services;proche de;PERCENT;22468.81;2026-05-23T09:08:22;2026-05-22T20:44:49;true;true
14;corps enseignant cuicui;fonctionnaire;PERCENT;21395.65;2026-05-22T19:20:14;2026-05-22T20:09:32;false;false
15;bè bzzz;en bas de;FIXED;20718.73;2026-05-23T00:31:05;2026-05-23T13:05:59;false;false
16;admirablement tandis que;comme;FIXED;31267.94;2026-05-23T11:35:13;2026-05-22T14:22:26;true;true
17;débrouiller dehors vide;patientèle écarter loufoque;FIXED;28121.9;2026-05-22T23:10:56;2026-05-23T11:22:53;true;false
18;biathlète;dresser police ding;FIXED;21109.2;2026-05-23T10:43:50;2026-05-22T15:00:49;true;false
19;drelin émérite un peu;habile;PERCENT;9680.49;2026-05-23T11:10:41;2026-05-23T02:01:55;true;false
20;neutre;bien que dans la mesure où;PERCENT;5466.41;2026-05-23T11:24:27;2026-05-22T19:09:42;false;false
21;coin-coin;puisque selon minuscule;FIXED;30151.18;2026-05-22T14:24:16;2026-05-22T21:30:54;true;false
22;même émérite;soit;FIXED;14444.96;2026-05-23T00:24:14;2026-05-22T22:25:49;false;false
23;sans que drelin;psitt avant que attacher;FIXED;1315.02;2026-05-22T20:46:35;2026-05-23T03:23:41;true;true
24;comme carrément partenaire;au lieu de;FIXED;20734.62;2026-05-23T11:22:12;2026-05-23T11:52:24;false;false
25;tandis que loufoque;pour d'avec;FIXED;14831.81;2026-05-22T18:12:47;2026-05-23T00:22:40;false;false
26;horrible;cultiver diplomate;FIXED;27633.01;2026-05-22T15:03:24;2026-05-23T01:29:39;false;false
27;solitaire gestionnaire;ding;FIXED;936.69;2026-05-23T04:42:48;2026-05-22T16:55:01;true;true
28;patientèle;areu areu vétuste;PERCENT;28938.91;2026-05-23T09:52:20;2026-05-22T23:59:27;false;false
29;drelin dissocier souvent;au-dessous de;PERCENT;15796.26;2026-05-22T13:51:40;2026-05-23T12:45:38;true;true
30;douter;jusque concurrence;FIXED;6335.78;2026-05-22T18:30:49;2026-05-23T06:03:41;false;false
