id;sku;name;description;price;cost_price;currency;stock;low_stock_threshold;category;is_active
1;sitôt que innombrable;turquoise insipide;psitt tic-tac;28673.52;12086.92;de ;32399;5314;tranquille ici d’autant que;false
2;euh spécialiste croiser;autour de à seule fin de;altruiste ouin;3060.63;5608.88;mag;19875;24729;meuh;false
3;glouglou euh;puisque affronter;turquoise beaucoup pour;9895.68;15636.27;ron;24596;15218;augmenter;false
4;charitable auprès de;bien que;personnel professionnel;1029.87;23883.31;en ;13580;17376;fade main-d’œuvre aigre;true
5;personnel professionnel électorat tic-tac;rapporter avant de mener;souple errer smack;49.66;24947.03;tel;23098;28688;tant;false
6;innombrable;où aïe de sorte que;peu;10753.38;7250.82;à r;7233;31200;où charitable;true
7;près de membre de l’équipe à défaut de;triste à condition que novice;hé présidence pendant que;10579.92;4734.89;ava;6143;7258;après que sans que;false
8;psitt même également;membre à vie proposer à partir de;ressortir;7959.53;3950.6;rud;6930;9805;chut en dépit de;true
9;du moment que;avant meuh envers;dense quant à;32685.01;25178.51;mag;27550;944;ha ha;false
10;si avant;rose;maintenant oh;22221.33;12076.16;oup;22528;27167;de façon que autour de sans que;true
11;orange;boum parfois absolument;dès que bon;28724.55;26778.19;ins;18589;10063;en outre de;true
12;renaître large assez;cyan depuis;gestionnaire à seule fin de démontrer;2410.08;2337.67;ouf;3707;32028;vouh;false
13;mieux faciliter entendre;plouf garder;pour que propre détester;31952.98;9426.54;bad;7981;7191;oui tandis que lorsque;false
14;apte au dépens de téméraire;conseil municipal;du moment que;12498.6;18794.58;gro;13009;17717;lunatique équipe classer;false
15;diététiste aïe;soit;de façon que rattraper gai;26800.47;24599.47;mia;4160;418;areu areu areu areu;true
16;immense ah;toc-toc fonctionnaire;spécialiste dévoiler placide;25581.37;17208.53;hor;6028;24817;gens errer vétuste;false
17;à cause de tant;du fait que;comme;22180.86;2919.49;de ;2636;17461;quand puisque lors de;true
18;calmer;puis pratiquer tchou tchouu;débile en faveur de;18500.43;7055.83;que;13809;30506;splendide du fait que;true
19;d’autant que jusqu’à ce que dans;assez collègue;revoir au point que;13168.16;29638;ini;23491;9649;livrer;false
20;parlementaire évacuer;extrêmement équipe de recherche;de façon à ce que vraiment;4513.19;3388.09;adv;8563;30524;atchoum à la merci;true
21;grâce à du côté de sympathique;débile tandis que pff;corner antagoniste nourrir;24050;13446.42;sec;17279;32579;goûter prestataire de services membre de l’équipe;false
22;dans la mesure où dehors;ensuite proposer;adresser concilier foule;5064.94;25946.91;au-;25669;18799;toc-toc que à bas de;true
23;électorat toutefois;alentour;entre après que;26614.74;9228.84;épa;25766;22430;jadis quand derrière;false
24;efficace;de façon à rédaction oh;ouah athlète;13579.71;31058.01;ha ;2122;20937;oh;true
25;camarade;mentionner d'entre à seule fin de;ding parce que;19852.82;28386.06;ens;307;6030;lorsque;true
26;mesurer meuh;décourager;toc bof quoique;3556.98;6702.44;cha;6761;6487;pendant que vroum gigantesque;true
27;foule brusque;parlementaire naguère déranger;athlète;28530.81;16455.36;en ;18176;26560;près;false
28;rapide lâche;auparavant ding;dériver membre de l’équipe;19489.07;25308.17;vis;10605;24657;vis-à-vie de abuser jusque;false
29;grouper sauvage;refermer;juriste aigre;12740.7;1245.81;en ;19888;5027;déranger;false
30;en decà de;au prix de peu;insuffisamment;31469.59;31388.48;par;19362;14732;membre du personnel deçà zzzz;false
